Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
12,Jaden Ivey,23,SG,33,2,16.8,3,6.7,0.45,1.3,3.4,0.372,1.7,3.2,0.533,0.545,0.9,1.2,0.789,0.6,1.6,2.2,1.6,0.5,0.4,1.1,1.3,8.2,
13,Paul Reed,26,C,62,10,13.9,3.1,5.2,0.6,0.2,0.6,0.333,2.9,4.5,0.637,0.62,1.1,1.7,0.65,2,2.5,4.5,1.2,0.9,0.9,0.9,1.9,7.5,
14,Marcus Sasser,25,PG,35,5,12.7,1.9,4.9,0.4,1.2,2.9,0.43,0.7,2,0.357,0.526,0.4,0.5,0.833,0.2,0.9,1.1,2.1,0.6,0.1,0.9,1.1,5.5,
15,Wendell Moore Jr.,24,SG,5,0,10.8,0.8,1.4,0.571,0,0.2,0,0.8,1.2,0.667,0.571,0.4,0.4,1,0.2,1,1.2,0.6,0.4,0.4,0.2,0.2,2,
16,Tolu Smith,25,PF,13,0,10.1,1.3,2.5,0.515,0,0,NA,1.3,2.5,0.515,0.515,1.3,2,0.654,1.5,2,3.5,0.9,0.2,0.5,0.5,1.7,3.9,
17,Chaz Lanier,24,SG,31,0,8,0.8,2.7,0.306,0.6,2.1,0.281,0.3,0.7,0.381,0.412,0.2,0.2,0.833,0.2,0.5,0.7,0.5,0.2,0,0.1,0.4,2.4,
18,Colby Jones,23,SG,1,0,7,1,3,0.333,0,2,0,1,1,1,0.333,0,0,NA,0,4,4,2,0,0,0,1,2,
19,Bobi Klintman,22,SF,12,0,5.9,0.8,2.3,0.333,0.3,1.1,0.308,0.4,1.2,0.357,0.407,0,0.3,0,0.4,1.2,1.6,0.5,0.3,0,0.5,0.9,1.8,
20,Isaac Jones,25,PF,3,0,3,0.7,1.3,0.5,0,0.3,0,0.7,1,0.667,0.5,0,0,NA,0,1,1,0,0,0.3,0,0,1.3,
NA,Team Totals,NA,,79,79,241.6,43.3,89.6,0.483,10.9,30.9,0.354,32.3,58.7,0.551,0.544,19.9,26.2,0.76,13,32.4,45.5,27.6,10.4,6.3,15.1,22.1,117.3,
1,Jaylen Brown,29,SF,70,70,34.5,10.4,21.9,0.476,2,5.7,0.344,8.4,16.1,0.523,0.521,6,7.6,0.796,1.2,5.8,7,5.2,1,0.4,3.6,2.7,28.8,AS
2,Derrick White,31,SG,75,75,34.3,5.8,14.5,0.397,2.7,8.3,0.33,3,6.2,0.487,0.491,2.4,2.7,0.9,1.1,3.3,4.5,5.4,1.1,1.3,1.8,1.6,16.7,
3,Payton Pritchard,28,PG,77,50,32.3,6.4,13.7,0.463,2.6,7.1,0.374,3.7,6.6,0.557,0.559,1.5,1.7,0.888,0.9,3.1,4,5.1,0.7,0.1,1.4,1.5,16.9,
4,Jayson Tatum,27,PF,15,15,32.1,7.4,17.7,0.419,3,8.9,0.338,4.4,8.8,0.5,0.504,3.8,4.6,0.826,0.5,9.3,9.8,5.1,1.4,0.1,2.2,1.7,21.6,
5,Neemias Queta,26,C,74,73,25.5,4.3,6.6,0.651,0,0.1,0,4.3,6.5,0.66,0.651,1.6,2.3,0.699,3,5.3,8.3,1.6,0.8,1.3,1,2.8,10.3,
6,Sam Hauser,28,PF,76,47,24.7,3.2,7.6,0.417,2.5,6.4,0.387,0.7,1.3,0.568,0.578,0.2,0.3,0.85,0.7,3.1,3.8,1.4,0.5,0.3,0.5,1.4,9.1,
